City,Latitude,Longitude
Rio Branco,-9.9754,-67.8249
Campinas,-22.9099,-47.0626
Seropédica,-22.7444,-43.709
Brasília,-15.7975,-47.8919
Fortaleza,-3.7172,-38.5434
Rio de Janeiro,-22.9068,-43.1729
Dourados,-22.2232,-54.8064
Sinop,-11.8616,-55.5056
Campina Grande,-7.2195,-35.8828
Maceió,-9.6662,-35.7351
Macapá,0.0355,-51.0705
Manaus,-3.119,-60.0217
Belém,-1.4558,-48.4902
Santo Antônio de Goiás,-16.4827,-49.3127
Sobral,-3.6846,-40.3489
Pelotas Sistema de Pesquisa e Desenvolvimento em Pecuária Leiteira (Sispel),-31.7654,-52.3376
Colombo,-25.2917,-49.2242
Campo Grande,-20.4697,-54.6201
Sede da Embrapa Gado de Leite(Juiz de Fora),-21.7661,-43.3502
São Carlos,-22.005,-47.8888
São Luís,-2.5307,-44.3068
Cruz das Almas,-12.6769,-39.1025
Jaguariúna,-22.7041,-46.987
Teresina,-5.0919,-42.8034
Sete Lagoas,-19.466,-44.2466
Corumbá,-19.0102,-57.6538
Bagé,-31.3285,-54.107
Palmas,-10.2491,-48.3243
Porto Velho,-8.7612,-63.9039
Boa Vista,2.8235,-60.6758
Petrolina,-9.396,-40.5065
Londrina,-23.3045,-51.1696
Concórdia,-27.235,-52.0257
Aracaju,-10.9472,-37.0731
Passo Fundo,-28.2628,-52.4088
Bento Gonçalves,-29.1691,-51.5178
